año,provincia,provincia_id,tenencia_tierra,EAP_con_limites_toda_superficie,hectareas
2002,Santa Cruz,78,Ocupación de hecho,0,0
2002,Santa Cruz,78,Otros,3,20512
2002,Santa Cruz,78,Propiedad,833,17091081.7
2002,Santa Cruz,78,Sin discriminar tenencia,17,285711
2002,Santa Fe,82,Aparcería,178,48321.4
2002,Santa Fe,82,Arrendamiento,2651,687880.4
2002,Santa Fe,82,Contrato accidental,1109,234103
2002,Santa Fe,82,Ocupación con permiso,278,92972.3
2002,Santa Fe,82,Ocupación de hecho,64,53590
2002,Santa Fe,82,Otros,68,24444
2002,Santa Fe,82,Propiedad,14031,5548260.9
2002,Santa Fe,82,Sin discriminar tenencia,29,20933
2002,Santiago del Estero,86,Aparcería,17,5369
2002,Santiago del Estero,86,Arrendamiento,260,202519
2002,Santiago del Estero,86,Contrato accidental,45,35526
2002,Santiago del Estero,86,Ocupación con permiso,805,331786.7
2002,Santiago del Estero,86,Ocupación de hecho,620,76608.6
2002,Santiago del Estero,86,Otros,52,19665.5
2002,Santiago del Estero,86,Propiedad,7820,3842869.7
2002,Santiago del Estero,86,Sin discriminar tenencia,650,546279.3
2002,Tierra del Fuego,94,Aparcería,0,0
2002,Tierra del Fuego,94,Arrendamiento,3,26125
2002,Tierra del Fuego,94,Contrato accidental,0,0
2002,Tierra del Fuego,94,Ocupación con permiso,15,58941.8
2002,Tierra del Fuego,94,Ocupación de hecho,3,22504.7
2002,Tierra del Fuego,94,Otros,4,9711.9
2002,Tierra del Fuego,94,Propiedad,62,1030751.7
2002,Tierra del Fuego,94,Sin discriminar tenencia,0,0
2002,Tucumán,90,Aparcería,42,3401.2
2002,Tucumán,90,Arrendamiento,369,32068.7
2002,Tucumán,90,Contrato accidental,147,2652.1
2002,Tucumán,90,Ocupación con permiso,185,5015.4
2002,Tucumán,90,Ocupación de hecho,77,591.2
2002,Tucumán,90,Otros,29,2058.2
2002,Tucumán,90,Propiedad,7503,789462.2
2002,Tucumán,90,Sin discriminar tenencia,14,3394.5
