año,provincia,provincia_id,tipo_juridico,EAP_sin_limites
2002,Salta,66,Entidades públicas,0
2002,San Juan,70,Entidades públicas,0
2002,San Luis,74,Entidades públicas,0
2002,Santa Cruz,78,Entidades públicas,0
2002,Santa Fe,82,Entidades públicas,0
2002,Santiago del Estero,86,Entidades públicas,1
2002,Tierra del Fuego,94,Entidades públicas,0
2002,Tucumán,90,Entidades públicas,0
2002,Buenos Aires,06,Otros sin discriminar,0
2002,Catamarca,10,Otros sin discriminar,1
2002,Chaco,22,Otros sin discriminar,0
2002,Chubut,26,Otros sin discriminar,0
2002,Córdoba,14,Otros sin discriminar,0
2002,Corrientes,18,Otros sin discriminar,0
2002,Entre Ríos,30,Otros sin discriminar,0
2002,Formosa,34,Otros sin discriminar,2
2002,Jujuy,38,Otros sin discriminar,1
2002,La Pampa,42,Otros sin discriminar,0
2002,La Rioja,46,Otros sin discriminar,0
2002,Mendoza,50,Otros sin discriminar,0
2002,Misiones,54,Otros sin discriminar,0
2002,Neuquén,58,Otros sin discriminar,1
2002,Río Negro,62,Otros sin discriminar,2
2002,Salta,66,Otros sin discriminar,0
2002,San Juan,70,Otros sin discriminar,0
2002,San Luis,74,Otros sin discriminar,0
2002,Santa Cruz,78,Otros sin discriminar,0
2002,Santa Fe,82,Otros sin discriminar,0
2002,Santiago del Estero,86,Otros sin discriminar,3
2002,Tierra del Fuego,94,Otros sin discriminar,0
2002,Tucumán,90,Otros sin discriminar,1
