cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo ,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1981,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1982,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1983,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1984,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1985,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1986,expellers de girasol,t,tonelada,0,0,220,2540,3274,2037,4436,0,0,531,0,0
32,Argentina,1987,expellers de girasol,t,tonelada,96,860,115,1950,1583,0,1594,568,81,0,126,18
32,Argentina,1988,expellers de girasol,t,tonelada,0,0,1556,928,0,0,284,1183,603,0,0,0
32,Argentina,1989,expellers de girasol,t,tonelada,0,0,51,29,0,83,345,0,0,0,0,0
32,Argentina,1990,expellers de girasol,t,tonelada,0,0,683,2036,814,371,0,0,0,0,44,
32,Argentina,1991,expellers de girasol,t,tonelada,543,4893,0,0,0,0,0,0,0,0,0,5436
32,Argentina,1992,expellers de girasol,t,tonelada,0,837,167,892,1685,1337,764,0,0,0,0,0
32,Argentina,1993,expellers de girasol,t,tonelada,0,0,461,647,673,333,0,0,0,0,0,0
32,Argentina,1994,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1995,expellers de girasol,t,tonelada,0,0,1592,2304,943,1890,376,1303,817,,,
32,Argentina,1996,expellers de girasol,t,tonelada,0,402,2601,2163,831,422,0,0,0,0,0,0
32,Argentina,1997,expellers de girasol,t,tonelada,0,577,1125,1154,2223,744,0,0,0,0,0,0
32,Argentina,1998,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1999,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2000,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2001,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2002,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2003,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2004,expellers de girasol,t,tonelada,0,0,0,0,0,135,0,0,0,0,0,0
32,Argentina,2005,expellers de girasol,t,tonelada,0,140,0,0,0,0,0,0,0,0,0,0
32,Argentina,2006,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2007,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,73,45,237,110,107
32,Argentina,2008,expellers de girasol,t,tonelada,0,0,0,160,0,0,0,0,0,0,0,0
32,Argentina,2009,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2010,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2011,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2012,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2013,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2014,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2015,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2016,expellers de girasol,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,2017,expellers de girasol,t,tonelada,431,370,435,806,957,799,1153,916,808,619,421,664
32,Argentina,2018,expellers de girasol,t,tonelada,428,403,902,893,1043,660,1097,1084,1002,,,
